Emotions,Path
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-01-01-01-01-01.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-01-01-01-02-01.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-01-01-02-01-01.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-01-01-02-02-01.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-02-01-01-01-01.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-02-01-02-01-01.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-02-01-02-02-01.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-02-02-01-01-01.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-02-02-01-02-01.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-02-02-02-01-01.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-02-02-02-02-01.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-03-01-01-01-01.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-03-01-01-02-01.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-03-01-02-01-01.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-03-01-02-02-01.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-03-02-01-01-01.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-03-02-01-02-01.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-03-02-02-01-01.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-03-02-02-02-01.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-04-01-01-01-01.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-04-01-01-02-01.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-04-01-02-01-01.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-04-01-02-02-01.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-04-02-01-01-01.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-04-02-01-02-01.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-04-02-02-01-01.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-04-02-02-02-01.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-05-01-01-01-01.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-05-01-01-02-01.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-05-01-02-01-01.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-05-01-02-02-01.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-05-02-01-01-01.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-05-02-01-02-01.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-05-02-02-01-01.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-05-02-02-02-01.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-06-01-01-01-01.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-06-01-01-02-01.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-06-01-02-01-01.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-06-01-02-02-01.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-06-02-01-01-01.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-06-02-01-02-01.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-06-02-02-01-01.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-06-02-02-02-01.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-07-01-01-01-01.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-07-01-01-02-01.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-07-01-02-01-01.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-07-01-02-02-01.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-07-02-01-01-01.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-07-02-01-02-01.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-07-02-02-01-01.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-07-02-02-02-01.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-08-01-01-01-01.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-08-01-01-02-01.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-08-01-02-01-01.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-08-01-02-02-01.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-08-02-01-01-01.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-08-02-01-02-01.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-08-02-02-01-01.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_01/03-01-08-02-02-02-01.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-01-01-01-01-02.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-01-01-01-02-02.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-01-01-02-01-02.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-01-01-02-02-02.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-02-01-01-01-02.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-02-01-01-02-02.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-02-01-02-01-02.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-02-01-02-02-02.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-02-02-01-01-02.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-02-02-01-02-02.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-02-02-02-01-02.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-02-02-02-02-02.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-03-01-01-01-02.wav
